Country,Happiness,All types,Beer,Wine,Spirits,Other alcoholic beverages,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Bangladesh,4.5,0,0,0,0,0,115,0.532,0.85,0.579,0.58,0.153,0.144
Sri Lanka,4.471,2.58,0.22,0.01,2.32,0.03,116,0.918,1.314,0.672,0.585,0.307,0.050
Iraq,4.456,0.17,0.12,0,0.05,0,117,1.01,0.971,0.536,0.304,0.148,0.095
Mali,4.447,0.59,0.1,0.01,0,0.48,118,0.37,1.233,0.152,0.367,0.139,0.056
Namibia,4.441,4.3,1.3,2.05,0.57,0.37,119,0.874,1.281,0.365,0.519,0.051,0.064
Cambodia,4.433,3.7,3.29,0.02,0.39,0,120,0.549,1.088,0.457,0.696,0.256,0.065
Burkina Faso,4.424,7.2,1,0.09,0.23,5.88,121,0.314,1.097,0.254,0.312,0.175,0.128
Egypt,4.419,0.13,0.08,0.01,0.04,0,122,0.885,1.025,0.553,0.312,0.092,0.107
Mozambique,4.417,1.24,1,0.03,0.21,0.01,123,0.198,0.902,0.173,0.531,0.206,0.158
Kenya,4.41,1.71,0.8,0.03,0.85,0.03,124,0.493,1.048,0.454,0.504,0.352,0.055
Zambia,4.377,3.95,1.15,0.08,0.62,2.1,125,0.562,1.047,0.295,0.503,0.221,0.082
Mauritania,4.356,0,0,0,0,0,126,0.557,1.245,0.292,0.129,0.134,0.093
Ethiopia,4.35,0.95,0.92,0.02,0.01,0,127,0.308,0.95,0.391,0.452,0.22,0.146
Georgia,4.34,5.44,1.64,1.15,2.63,0.02,128,0.853,0.592,0.643,0.375,0.038,0.215
Armenia,4.321,3.71,0.49,0.38,2.83,0.01,129,0.816,0.99,0.666,0.26,0.077,0.028
Myanmar,4.308,1.78,0.45,0,1.33,0,130,0.682,1.174,0.429,0.58,0.598,0.178
Chad,4.301,0.42,0.4,0.01,0.01,0,131,0.358,0.907,0.053,0.189,0.181,0.060
Congo Democratic Republic,4.245,0.58,0.54,0.01,0.03,0,132,0.069,1.136,0.204,0.312,0.197,0.052
India,4.19,3.05,0.22,0,2.83,0,133,0.721,0.747,0.485,0.539,0.172,0.093
Niger,4.166,0.13,0.04,0.02,0.07,0,134,0.131,0.867,0.221,0.39,0.175,0.099
Uganda,4.161,12.2,0.84,0.01,0.61,10.73,135,0.322,1.09,0.237,0.45,0.259,0.061
Benin,4.141,1.37,0.87,0.06,0.21,0.22,136,0.378,0.372,0.24,0.44,0.163,0.067
Sudan,4.139,0.01,0,0,0.01,0,137,0.605,1.24,0.312,0.016,0.134,0.082
Ukraine,4.103,5.15,2.44,0.31,2.65,0.05,138,0.793,1.413,0.609,0.163,0.187,0.011
Togo,3.999,1.31,0.73,0.07,0.2,0.32,139,0.259,0.474,0.253,0.434,0.158,0.101
Guinea,3.964,0.31,0.27,0.03,0.01,0,140,0.344,0.792,0.211,0.394,0.185,0.094
Lesotho,3.808,2.82,1.62,0.09,0.3,0.81,141,0.472,1.215,0.079,0.423,0.116,0.112
Angola,3.795,5.35,3.64,0.64,0.99,0.08,142,0.73,1.125,0.269,0,0.079,0.061
Madagascar,3.774,0.91,0.5,0.07,0.34,0,143,0.262,0.908,0.402,0.221,0.155,0.049
Zimbabwe,3.692,3.46,1.93,0.04,0.27,1.22,144,0.357,1.094,0.248,0.406,0.132,0.099
Afghanistan,3.632,0.01,0,0,0.01,0,145,0.332,0.537,0.255,0.085,0.191,0.036
Botswana,3.59,4.81,2.63,0.38,0.28,1.52,146,1.017,1.174,0.417,0.557,0.042,0.092
Malawi,3.587,2,0.17,0.02,0.19,1.61,147,0.186,0.541,0.306,0.531,0.21,0.080
Haiti,3.582,2.74,0.13,0.1,2.51,0.01,148,0.315,0.714,0.289,0.025,0.392,0.104
Liberia,3.495,3.55,0.37,0.05,3.11,0.02,149,0.076,0.858,0.267,0.419,0.206,0.030
Syrian Arab Republic,3.462,0.16,0.02,0,0.13,0,150,0.689,0.382,0.539,0.088,0.376,0.144
Rwanda,3.408,6.99,1.06,0.01,0.04,5.88,151,0.332,0.896,0.4,0.636,0.2,0.444
Yemen,3.355,0.03,0.03,0,0,0,152,0.442,1.073,0.343,0.244,0.083,0.064
Tanzania,3.303,7.31,0.73,0.01,0.21,6.37,153,0.455,0.991,0.381,0.481,0.27,0.097
Central African Republic,3.083,0.88,0.51,0.02,0.03,0.32,155,0.024,0,0.01,0.305,0.218,0.038
Burundi,2.905,4,1.81,0,0.01,2.18,156,0.091,0.627,0.145,0.065,0.149,0.076
Andorra,NA,9.75,3.66,3.69,2.31,0,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,8.72,2.71,1.08,4.53,0.39,NA,NA,NA,NA,NA,NA,NA
Bahamas,NA,8.9,3.43,1.4,3.78,0.29,NA,NA,NA,NA,NA,NA,NA
Barbados,NA,9.35,3.65,0.68,4.85,0.18,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,NA,0.66,0.65,0.01,0,0,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,NA,4.13,2.27,1.57,0.28,0,NA,NA,NA,NA,NA,NA,NA
Comoros,NA,0.23,0.06,0.05,0.11,0,NA,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,NA,1.45,1,0.28,0.1,0.07,NA,NA,NA,NA,NA,NA,NA
Cuba,NA,4.5,1.71,0.07,2.71,0.01,NA,NA,NA,NA,NA,NA,NA
Czechia,NA,12.93,6.89,2.76,3.28,0,NA,NA,NA,NA,NA,NA,NA
Korea Democratic Republic,NA,3.3,0.06,0,3.24,0,NA,NA,NA,NA,NA,NA,NA
Djibouti,NA,0.25,0.09,0.02,0.14,0,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,NA,5.68,3.5,0.94,1.19,0.06,NA,NA,NA,NA,NA,NA,NA
Eritrea,NA,0.67,0.3,0,0,0.37,NA,NA,NA,NA,NA,NA,NA
Eswatini,NA,7.46,1.94,1.19,0,4.33,NA,NA,NA,NA,NA,NA,NA
Fiji,NA,2.42,1.52,0.26,0.64,0,NA,NA,NA,NA,NA,NA,NA
Gambia,NA,2.8,0.14,0.02,0,2.64,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,9.14,3.78,0.69,4.34,0.33,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,NA,3.23,0.41,1.18,0.41,1.23,NA,NA,NA,NA,NA,NA,NA
Guyana,NA,5.42,2.6,0.47,2.32,0.02,NA,NA,NA,NA,NA,NA,NA
Kiribati,NA,0.36,0.36,0.01,0,0,NA,NA,NA,NA,NA,NA,NA
Maldives,NA,1.11,0.33,0.44,0.34,0,NA,NA,NA,NA,NA,NA,NA
Micronesia,NA,1.59,0.92,0.13,0.52,0.01,NA,NA,NA,NA,NA,NA,NA
Nauru,NA,2.17,0.48,0.08,1.61,0,NA,NA,NA,NA,NA,NA,NA
Niue,NA,9.11,4.6,2.01,2.5,0,NA,NA,NA,NA,NA,NA,NA
Oman,NA,0.4,0.16,0.02,0.21,0.01,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,NA,0.8,0.69,0.06,0.05,0,NA,NA,NA,NA,NA,NA,NA
St. Kitts and Nevis,NA,8.44,3.5,0.98,3.76,0.2,NA,NA,NA,NA,NA,NA,NA
St. Lucia,NA,10.43,3.46,1.26,5.11,0.6,NA,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,NA,8.18,2.77,0.63,4.56,0.22,NA,NA,NA,NA,NA,NA,NA
Samoa,NA,1.97,1.81,0.16,0,0,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,NA,3.88,0.96,2.91,0,0,NA,NA,NA,NA,NA,NA,NA
Seychelles,NA,20.05,10.93,2.05,6.73,0.34,NA,NA,NA,NA,NA,NA,NA
Solomon Islands,NA,1.25,1.21,0.04,0,0,NA,NA,NA,NA,NA,NA,NA
Suriname,NA,4.47,1.96,0.09,2.29,0.13,NA,NA,NA,NA,NA,NA,NA
Timor-Leste,NA,0.48,0.38,0.1,0,0,NA,NA,NA,NA,NA,NA,NA
Tonga,NA,0.33,0.03,0.2,0.1,0,NA,NA,NA,NA,NA,NA,NA
Tuvalu,NA,0.9,0.01,0.66,0.23,0,NA,NA,NA,NA,NA,NA,NA
Vanuatu,NA,1.57,0.34,0.3,0.92,0,NA,NA,NA,NA,NA,NA,NA
